energy_MeV,sigma_cm2_per_bit,origin
79.4328234724,9.009738725857e-14,INTERPOLATION_loglog_between_anchors
80,9.000000000000e-14,EXPERIMENTAL_marker_anchor
83.1763771103,8.906311188111e-14,INTERPOLATION_loglog_between_anchors
87.0963589956,8.796760601444e-14,INTERPOLATION_loglog_between_anchors
91.2010839356,8.688557523391e-14,INTERPOLATION_loglog_between_anchors
95.4992586021,8.581685379148e-14,INTERPOLATION_loglog_between_anchors
100,8.476127797786e-14,INTERPOLATION_loglog_between_anchors
104.712854805,8.371868609746e-14,INTERPOLATION_loglog_between_anchors
109.647819614,8.268891844358e-14,INTERPOLATION_loglog_between_anchors
114.81536215,8.167181727397e-14,INTERPOLATION_loglog_between_anchors
120.226443462,8.066722678667e-14,INTERPOLATION_loglog_between_anchors
124,8.000000000000e-14,EXPERIMENTAL_marker_anchor
125.892541179,7.989034335269e-14,INTERPOLATION_loglog_between_anchors
131.825673856,7.955787739343e-14,INTERPOLATION_loglog_between_anchors
138.03842646,7.922679500081e-14,INTERPOLATION_loglog_between_anchors
144.543977075,7.889709041708e-14,INTERPOLATION_loglog_between_anchors
151.356124844,7.856875790844e-14,INTERPOLATION_loglog_between_anchors
158.489319246,7.824179176498e-14,INTERPOLATION_loglog_between_anchors
164,7.800000000000e-14,EXPERIMENTAL_marker_anchor
165.958690744,7.836877677203e-14,INTERPOLATION_loglog_between_anchors
173.780082875,7.981578363465e-14,INTERPOLATION_loglog_between_anchors
181.970085861,8.128950813848e-14,INTERPOLATION_loglog_between_anchors
184,8.164856342695e-14,INTERPOLATION_loglog_between_anchors
186,8.200000000000e-14,EXPERIMENTAL_marker_anchor
190.546071796,8.200000000000e-14,ASSUMPTION_high_E_constant
199.526231497,8.200000000000e-14,ASSUMPTION_high_E_constant
208.929613085,8.200000000000e-14,ASSUMPTION_high_E_constant
218.776162395,8.200000000000e-14,ASSUMPTION_high_E_constant
229.086765277,8.200000000000e-14,ASSUMPTION_high_E_constant
239.883291902,8.200000000000e-14,ASSUMPTION_high_E_constant
251.188643151,8.200000000000e-14,ASSUMPTION_high_E_constant
263.02679919,8.200000000000e-14,ASSUMPTION_high_E_constant
275.422870334,8.200000000000e-14,ASSUMPTION_high_E_constant
288.403150313,8.200000000000e-14,ASSUMPTION_high_E_constant
301.99517204,8.200000000000e-14,ASSUMPTION_high_E_constant
316.227766017,8.200000000000e-14,ASSUMPTION_high_E_constant
331.131121483,8.200000000000e-14,ASSUMPTION_high_E_constant
346.736850453,8.200000000000e-14,ASSUMPTION_high_E_constant
363.07805477,8.200000000000e-14,ASSUMPTION_high_E_constant
380.189396321,8.200000000000e-14,ASSUMPTION_high_E_constant
