LET_MeV_cm2_mg,sigma_normal_cm2_per_bit,sigma_iso60_cm2_per_bit
5.43250331492,1.144265274866e-08,6.071103428267e-09
5.6234132519,1.192907482199e-08,6.324236761025e-09
5.82103217771,1.243516355824e-08,6.587329756015e-09
6.02559586074,1.296166585418e-08,6.860738340612e-09
6.23734835482,1.350935307333e-08,7.144828172646e-09
6.45654229035,1.407902150131e-08,7.439974636493e-09
6.68343917569,1.467149277517e-08,7.746562808780e-09
6.91830970919,1.528761428242e-08,8.064987390481e-09
7.16143410213,1.592825952476e-08,8.395652601998e-09
7.41310241301,1.659432844162e-08,8.738972037571e-09
7.67361489362,1.728674768746e-08,9.095368475139e-09
7.94328234724,1.800647085710e-08,9.465273637530e-09
8.22242649947,1.875447865215e-08,9.849127900634e-09
8.51138038202,1.953177898159e-08,1.024737994392e-08
8.81048873008,2.033940698868e-08,1.066048633851e-08
9.12010839356,2.117842499596e-08,1.108891106759e-08
9.44060876286,2.204992235940e-08,1.153312497401e-08
9.77237220956,2.295501522227e-08,1.199360512931e-08
10,2.357763779037e-08,1.230986681479e-08
10.1157945426,2.389484615833e-08,1.247083411846e-08
10.4712854805,2.487058369374e-08,1.296529923440e-08
10.8392691402,2.588342169582e-08,1.347749157599e-08
11.220184543,2.693457861652e-08,1.400790504314e-08
11.6144861384,2.802529657749e-08,1.455703522263e-08
12.0226443462,2.915684028294e-08,1.512537815793e-08
12.4451461177,3.033049574573e-08,1.571342899638e-08
12.8824955169,3.154756881138e-08,1.632168050710e-08
13.3352143216,3.280938346386e-08,1.695062146293e-08
13.803842646,3.411727989641e-08,1.760073487995e-08
14.2889395851,3.547261232993e-08,1.827249610820e-08
14.7910838817,3.687674656058e-08,1.896637076761e-08
15.3108746168,3.833105721796e-08,1.968281252340e-08
15.8489319246,3.983692471441e-08,2.042226069599e-08
16.405897732,4.139573186560e-08,2.118513770060e-08
16.9824365246,4.300886016230e-08,2.197184631304e-08
17.5792361396,4.467768567275e-08,2.278276675871e-08
18.1970085861,4.640357455523e-08,2.361825362302e-08
18.8364908949,4.818787816020e-08,2.447863258287e-08
19.4984459976,5.003192770203e-08,2.536419696015e-08
20,5.142679811292e-08,2.603160180661e-08
20.1836636368,5.193702848044e-08,2.627520409980e-08
20.8929613085,5.390445363293e-08,2.721187157733e-08
21.6271852373,5.593543740033e-08,2.817437324225e-08
22.3872113857,5.803116788910e-08,2.916283510687e-08
23.1739464997,6.019277931596e-08,3.017733109218e-08
23.9883291902,6.242134372258e-08,3.121787864568e-08
24.831331053,6.471786215077e-08,3.228443424917e-08
25.7039578277,6.708325527223e-08,3.337688883820e-08
26.607250598,6.951835347030e-08,3.449506315820e-08
27.5422870334,7.202388637628e-08,3.563870308693e-08
28.510182675,7.460047186763e-08,3.680747495663e-08
29.5120922667,7.724860454167e-08,3.800096091400e-08
30.5492111322,7.996864368508e-08,3.921865436067e-08
31.6227766017,8.276080076709e-08,4.045995552170e-08
32.7340694879,8.562512649300e-08,4.172416719433e-08
33.8844156139,8.856149746392e-08,4.301049073413e-08
35.0751873953,9.156960249916e-08,4.431802234051e-08
36.307805477,9.464892868907e-08,4.564574970804e-08
37.5837404288,9.779874725857e-08,4.699254911434e-08
38.9045144994,1.010180993348e-07,4.835718301926e-08
40,1.036560756623e-07,4.946636825575e-08
40.2717034325,1.043057817267e-07,4.973829825323e-08
41.686938347,1.076603328390e-07,5.113442487546e-08
43.1519076828,1.110800188599e-07,5.254397578435e-08
44.6683592151,1.145628203764e-07,5.396524716308e-08
46.2381021399,1.181064195903e-07,5.539641984287e-08
47.8630092323,1.217081883227e-07,5.683556166457e-08
49.5450190805,1.253651770137e-07,5.828063091538e-08
51.2861383991,1.290741049398e-07,5.972948091246e-08
53.0884444231,1.328313518869e-07,6.117986579756e-08
54.9540873858,1.366329515326e-07,6.262944759751e-08
56.8852930844,1.404745868050e-07,6.407580459377e-08
58.8843655356,1.443515874932e-07,6.551644102999e-08
60,1.464714735320e-07,6.629600043557e-08
60.953689724,1.482589303962e-07,6.694879817027e-08
63.095734448,1.521912422997e-07,6.837026670198e-08
65.3130552647,1.561428060699e-07,6.977820045600e-08
