energy_mev,main_loglog,linear_energy,gap_linear_5_40,low_hold,supported_only_diagnostic,experimental_sigma_cm2_per_bit,experimental_value_type,experimental_source
0.275193978,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.281915588,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.288801374,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.295855344,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.303081608,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.310484374,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.318067951,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.325836758,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.333795318,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.341948265,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.350300348,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.35885643,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.367621495,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.376600647,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.385799114,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.395222253,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.404875553,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.414764634,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.424895256,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.435273319,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.445904865,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.456796087,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.467953327,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.479383083,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.49109201,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.503086927,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.51537482,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
0.527962845,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.410000000e-10,0.000000000e+00,,,
