sigma_model,multiplicity_variant,low_energy_scenario,shield_mm,regime,horizon,duration_s,hazard_upper,F_D_upper,window_start_utc,window_end_utc
main_loglog,false_mcu_aware_logE_linear,low_energy_conservative,0.0,background_median_constant,6h,21600,98.22464894443391,1.0,,
main_loglog,false_mcu_aware_logE_linear,low_energy_conservative,0.0,p95_constant,6h,21600,2725.641743650784,1.0,,
main_loglog,false_mcu_aware_logE_linear,low_energy_conservative,0.0,p99_constant,6h,21600,12178.00613095197,1.0,,
main_loglog,false_mcu_aware_logE_linear,low_energy_conservative,0.0,max_actual_contiguous_window,6h,21600,484903.79759910447,1.0,2026-01-19T18:10:00+00:00,2026-01-20T00:05:00+00:00
main_loglog,false_mcu_aware_logE_linear,low_energy_conservative,0.0,background_median_constant,24h,86400,392.89859577773564,1.0,,
main_loglog,false_mcu_aware_logE_linear,low_energy_conservative,0.0,p95_constant,24h,86400,10902.566974603136,1.0,,
main_loglog,false_mcu_aware_logE_linear,low_energy_conservative,0.0,p99_constant,24h,86400,48712.02452380788,1.0,,
main_loglog,false_mcu_aware_logE_linear,low_energy_conservative,0.0,max_actual_contiguous_window,24h,86400,517523.80555650877,1.0,2026-01-19T17:40:00+00:00,2026-01-20T17:35:00+00:00
main_loglog,false_mcu_aware_logE_linear,low_energy_conservative,0.0,background_median_constant,7d,604800,2750.2901704441497,1.0,,
main_loglog,false_mcu_aware_logE_linear,low_energy_conservative,0.0,p95_constant,7d,604800,76317.96882222196,1.0,,
main_loglog,false_mcu_aware_logE_linear,low_energy_conservative,0.0,p99_constant,7d,604800,340984.1716666551,1.0,,
main_loglog,false_mcu_aware_logE_linear,low_energy_conservative,0.0,max_actual_contiguous_window,7d,604800,558735.2730809342,1.0,2026-01-16T12:40:00+00:00,2026-01-23T12:35:00+00:00
main_loglog,false_mcu_aware_logE_linear,low_energy_conservative,0.0,background_median_constant,30d,2592000,11786.95787333207,1.0,,
main_loglog,false_mcu_aware_logE_linear,low_energy_conservative,0.0,p95_constant,30d,2592000,327077.0092380941,1.0,,
main_loglog,false_mcu_aware_logE_linear,low_energy_conservative,0.0,p99_constant,30d,2592000,1461360.7357142363,1.0,,
main_loglog,false_mcu_aware_logE_linear,low_energy_conservative,0.0,max_actual_contiguous_window,30d,2592000,nan,nan,,
main_loglog,false_mcu_aware_logE_linear,low_energy_conservative,0.0,full_valid_Jan_Feb_exposure,Jan-Feb-valid,5091300,627008.4628048486,1.0,2026-01-01T00:00:00+00:00,2026-02-28T23:55:00+00:00
published_rpp_fluka_digitized,nominal_logE_linear,K1_only,0.0,background_median_constant,5min,300,0.5309890640490019,0.41197691053038465,,
published_rpp_fluka_digitized,nominal_logE_linear,K1_only,0.0,p95_constant,5min,300,14.731468036026145,0.9999995998666763,,
published_rpp_fluka_digitized,nominal_logE_linear,K1_only,0.0,p99_constant,5min,300,65.92544460177393,1.0,,
published_rpp_fluka_digitized,nominal_logE_linear,K1_only,0.0,max_actual_contiguous_window,5min,300,10235.628725395021,1.0,2026-01-19T19:30:00+00:00,2026-01-19T19:30:00+00:00
published_rpp_fluka_digitized,nominal_logE_linear,K1_only,0.0,background_median_constant,1h,3600,6.371868768588023,0.9982910374159909,,
published_rpp_fluka_digitized,nominal_logE_linear,K1_only,0.0,p95_constant,1h,3600,176.77761643231375,1.0,,
published_rpp_fluka_digitized,nominal_logE_linear,K1_only,0.0,p99_constant,1h,3600,791.1053352212873,1.0,,
published_rpp_fluka_digitized,nominal_logE_linear,K1_only,0.0,max_actual_contiguous_window,1h,3600,103906.6764120372,1.0,2026-01-19T19:20:00+00:00,2026-01-19T20:15:00+00:00
published_rpp_fluka_digitized,nominal_logE_linear,K1_only,0.0,background_median_constant,6h,21600,38.231212611528136,1.0,,
published_rpp_fluka_digitized,nominal_logE_linear,K1_only,0.0,p95_constant,6h,21600,1060.6656985938826,1.0,,
published_rpp_fluka_digitized,nominal_logE_linear,K1_only,0.0,p99_constant,6h,21600,4746.632011327723,1.0,,
published_rpp_fluka_digitized,nominal_logE_linear,K1_only,0.0,max_actual_contiguous_window,6h,21600,189065.06757938935,1.0,2026-01-19T18:10:00+00:00,2026-01-20T00:05:00+00:00
published_rpp_fluka_digitized,nominal_logE_linear,K1_only,0.0,background_median_constant,24h,86400,152.92485044611254,1.0,,
published_rpp_fluka_digitized,nominal_logE_linear,K1_only,0.0,p95_constant,24h,86400,4242.66279437553,1.0,,
published_rpp_fluka_digitized,nominal_logE_linear,K1_only,0.0,p99_constant,24h,86400,18986.528045310894,1.0,,
published_rpp_fluka_digitized,nominal_logE_linear,K1_only,0.0,max_actual_contiguous_window,24h,86400,201786.46225092158,1.0,2026-01-19T17:40:00+00:00,2026-01-20T17:35:00+00:00
published_rpp_fluka_digitized,nominal_logE_linear,K1_only,0.0,background_median_constant,7d,604800,1070.4739531227879,1.0,,
published_rpp_fluka_digitized,nominal_logE_linear,K1_only,0.0,p95_constant,7d,604800,29698.639560628708,1.0,,
published_rpp_fluka_digitized,nominal_logE_linear,K1_only,0.0,p99_constant,7d,604800,132905.69631717625,1.0,,
published_rpp_fluka_digitized,nominal_logE_linear,K1_only,0.0,max_actual_contiguous_window,7d,604800,217853.37952322062,1.0,2026-01-16T12:40:00+00:00,2026-01-23T12:35:00+00:00
published_rpp_fluka_digitized,nominal_logE_linear,K1_only,0.0,background_median_constant,30d,2592000,4587.745513383376,1.0,,
published_rpp_fluka_digitized,nominal_logE_linear,K1_only,0.0,p95_constant,30d,2592000,127279.88383126589,1.0,,
published_rpp_fluka_digitized,nominal_logE_linear,K1_only,0.0,p99_constant,30d,2592000,569595.8413593268,1.0,,
published_rpp_fluka_digitized,nominal_logE_linear,K1_only,0.0,max_actual_contiguous_window,30d,2592000,nan,nan,,
published_rpp_fluka_digitized,nominal_logE_linear,K1_only,0.0,full_valid_Jan_Feb_exposure,Jan-Feb-valid,5091300,244425.95231154148,1.0,2026-01-01T00:00:00+00:00,2026-02-28T23:55:00+00:00
published_rpp_fluka_digitized,nominal_logE_linear,low_energy_conservative,0.0,background_median_constant,5min,300,1.6420339527443895,0.8064141029761782,,
published_rpp_fluka_digitized,nominal_logE_linear,low_energy_conservative,0.0,p95_constant,5min,300,45.38498223182806,1.0,,
published_rpp_fluka_digitized,nominal_logE_linear,low_energy_conservative,0.0,p99_constant,5min,300,202.7531003867754,1.0,,
published_rpp_fluka_digitized,nominal_logE_linear,low_energy_conservative,0.0,max_actual_contiguous_window,5min,300,31427.120760950595,1.0,2026-01-19T19:30:00+00:00,2026-01-19T19:30:00+00:00
published_rpp_fluka_digitized,nominal_logE_linear,low_energy_conservative,0.0,background_median_constant,1h,3600,19.704407432932673,0.9999999972299694,,
published_rpp_fluka_digitized,nominal_logE_linear,low_energy_conservative,0.0,p95_constant,1h,3600,544.6197867819368,1.0,,
published_rpp_fluka_digitized,nominal_logE_linear,low_energy_conservative,0.0,p99_constant,1h,3600,2433.037204641305,1.0,,
published_rpp_fluka_digitized,nominal_logE_linear,low_energy_conservative,0.0,max_actual_contiguous_window,1h,3600,319097.37997882976,1.0,2026-01-19T19:20:00+00:00,2026-01-19T20:15:00+00:00
published_rpp_fluka_digitized,nominal_logE_linear,low_energy_conservative,0.0,background_median_constant,6h,21600,118.22644459759604,1.0,,
published_rpp_fluka_digitized,nominal_logE_linear,low_energy_conservative,0.0,p95_constant,6h,21600,3267.7187206916205,1.0,,
published_rpp_fluka_digitized,nominal_logE_linear,low_energy_conservative,0.0,p99_constant,6h,21600,14598.22322784783,1.0,,
published_rpp_fluka_digitized,nominal_logE_linear,low_energy_conservative,0.0,max_actual_contiguous_window,6h,21600,580543.3314016368,1.0,2026-01-19T18:10:00+00:00,2026-01-20T00:05:00+00:00
published_rpp_fluka_digitized,nominal_logE_linear,low_energy_conservative,0.0,background_median_constant,24h,86400,472.90577839038417,1.0,,
published_rpp_fluka_digitized,nominal_logE_linear,low_energy_conservative,0.0,p95_constant,24h,86400,13070.874882766482,1.0,,
published_rpp_fluka_digitized,nominal_logE_linear,low_energy_conservative,0.0,p99_constant,24h,86400,58392.89291139132,1.0,,
published_rpp_fluka_digitized,nominal_logE_linear,low_energy_conservative,0.0,max_actual_contiguous_window,24h,86400,619555.7052419729,1.0,2026-01-19T17:40:00+00:00,2026-01-20T17:35:00+00:00
published_rpp_fluka_digitized,nominal_logE_linear,low_energy_conservative,0.0,background_median_constant,7d,604800,3310.3404487326893,1.0,,
published_rpp_fluka_digitized,nominal_logE_linear,low_energy_conservative,0.0,p95_constant,7d,604800,91496.12417936538,1.0,,
published_rpp_fluka_digitized,nominal_logE_linear,low_energy_conservative,0.0,p99_constant,7d,604800,408750.2503797392,1.0,,
published_rpp_fluka_digitized,nominal_logE_linear,low_energy_conservative,0.0,max_actual_contiguous_window,7d,604800,668920.0459096093,1.0,2026-01-16T12:40:00+00:00,2026-01-23T12:35:00+00:00
published_rpp_fluka_digitized,nominal_logE_linear,low_energy_conservative,0.0,background_median_constant,30d,2592000,14187.173351711524,1.0,,
published_rpp_fluka_digitized,nominal_logE_linear,low_energy_conservative,0.0,p95_constant,30d,2592000,392126.24648299447,1.0,,
published_rpp_fluka_digitized,nominal_logE_linear,low_energy_conservative,0.0,p99_constant,30d,2592000,1751786.7873417395,1.0,,
published_rpp_fluka_digitized,nominal_logE_linear,low_energy_conservative,0.0,max_actual_contiguous_window,30d,2592000,nan,nan,,
published_rpp_fluka_digitized,nominal_logE_linear,low_energy_conservative,0.0,full_valid_Jan_Feb_exposure,Jan-Feb-valid,5091300,751118.2971477282,1.0,2026-01-01T00:00:00+00:00,2026-02-28T23:55:00+00:00
published_rpp_fluka_digitized,raw_nearest_observed,K1_only,0.0,background_median_constant,5min,300,0.5482264329935764,0.42202602252543975,,
published_rpp_fluka_digitized,raw_nearest_observed,K1_only,0.0,p95_constant,5min,300,15.210241232045096,0.9999997521002068,,
published_rpp_fluka_digitized,raw_nearest_observed,K1_only,0.0,p99_constant,5min,300,67.9662692853669,1.0,,
published_rpp_fluka_digitized,raw_nearest_observed,K1_only,0.0,max_actual_contiguous_window,5min,300,10548.51023800316,1.0,2026-01-19T19:30:00+00:00,2026-01-19T19:30:00+00:00
