timestamp_utc,computed_s_1,reference_s_1,relative_error
2026-01-19T15:40:00+00:00,0.021969531424525485,0.021969531,1.9323374914583723e-08
2026-01-19T15:45:00+00:00,0.02254997414965103,0.022549974,6.636417015403188e-09
2026-01-19T15:50:00+00:00,0.026376150398421068,0.02637615,1.5105353395838003e-08
2026-01-19T15:55:00+00:00,0.030079923696007208,0.030079924,1.0106168909999797e-08
2026-01-19T16:00:00+00:00,0.03268777922858619,0.032687779,6.993016920537447e-09
2026-01-19T16:05:00+00:00,0.034927829140751224,0.034927829,4.029773026447846e-09
2026-01-19T16:10:00+00:00,0.04155593896777242,0.041555939,7.755228852943176e-10
2026-01-19T16:15:00+00:00,0.043378757854632646,0.043378758,3.3511184677216124e-09
2026-01-19T16:20:00+00:00,0.03914094283195897,0.039140943,4.293228845787185e-09
2026-01-19T16:25:00+00:00,0.035644965093743444,0.035644965,2.6299210439195743e-09
2026-01-19T16:30:00+00:00,0.038603126095541423,0.038603126,2.4749659391853788e-09
2026-01-19T16:35:00+00:00,0.037834250021271665,0.03783425,5.622330291997564e-10
2026-01-19T16:40:00+00:00,0.03647457325919179,0.036474573,7.106095144402738e-09
2026-01-19T16:45:00+00:00,0.038787274338198785,0.038787274,8.719323467248215e-09
2026-01-19T16:50:00+00:00,0.041096317842888405,0.041096318,3.823009024009144e-09
2026-01-19T16:55:00+00:00,0.041391398370430744,0.041391398,8.949461954301244e-09
2026-01-19T17:00:00+00:00,0.04306712266368531,0.043067123,7.809081915542403e-09
2026-01-19T17:05:00+00:00,0.046359219577386854,0.04635922,9.116053847914921e-09
2026-01-19T17:10:00+00:00,0.04492596677131763,0.044925967,5.090204618440306e-09
2026-01-19T17:15:00+00:00,0.04863383326138768,0.048633833,5.374605686399171e-09
2026-01-19T17:20:00+00:00,0.05065607310986044,0.050656073,2.1687516162071545e-09
2026-01-19T17:25:00+00:00,0.05405492383517514,0.054054924,3.049210746339129e-09
2026-01-19T17:30:00+00:00,0.05525171913264398,0.055251719,2.4007213084866634e-09
2026-01-19T17:35:00+00:00,0.06043292103647879,0.060432921,6.036245080580844e-10
2026-01-19T17:40:00+00:00,0.054802479380556476,0.054802479,6.944147092712414e-09
2026-01-19T17:45:00+00:00,0.05489292623211113,0.054892926,4.228434259968065e-09
2026-01-19T17:50:00+00:00,0.06027544156100441,0.060275442,7.2831583695364565e-09
2026-01-19T17:55:00+00:00,0.0679548705411999,0.067954871,6.751540962203695e-09
2026-01-19T18:00:00+00:00,0.07546018428886833,0.075460184,3.828089420406711e-09
2026-01-19T18:05:00+00:00,0.08127374254336425,0.081273743,5.618490378951009e-09
2026-01-19T18:10:00+00:00,0.08900650504791653,0.089006505,5.383486505107842e-10
2026-01-19T18:15:00+00:00,0.09606289672969037,0.096062897,2.8138816374453574e-09
2026-01-19T18:20:00+00:00,0.09290684050429136,0.092906841,5.335545105897537e-09
2026-01-19T18:25:00+00:00,0.09196551439134831,0.091965514,4.255381151519744e-09
2026-01-19T18:30:00+00:00,0.09444238373492503,0.094442384,2.806737448073614e-09
2026-01-19T18:35:00+00:00,0.09899286783917098,0.098992868,1.6246525635659628e-09
2026-01-19T18:40:00+00:00,0.10231539890315705,0.1023154,1.07202136706623e-08
2026-01-19T18:45:00+00:00,0.11571522606177133,0.11571523,3.4033797225548685e-08
2026-01-19T18:50:00+00:00,0.12765993896278102,0.12765994,8.124858725245365e-09
2026-01-19T18:55:00+00:00,0.1418547454362673,0.14185475,3.217187085596147e-08
2026-01-19T19:00:00+00:00,0.1520415323217068,0.15204153,1.527021465145437e-08
2026-01-19T19:05:00+00:00,0.17921654012794896,0.17921654,7.139349804709994e-10
2026-01-19T19:10:00+00:00,0.22122007972041996,0.22122008,1.26380956716345e-09
